Time (s),PPG_Red,PPG_IR,PPG_Green,ECG,Temp_Ambient,Temp_Object,SpO2_Ground_Truth,SBP_Ground_Truth,DBP_Ground_Truth,Body_Temperature_Ground_Truth,Respiratory_Rate_Ground_Truth,HR_Ground_Truth
0.0000,84901,108837,85,128,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0025,84904,108822,85,24,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0050,84906,108829,97,80,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0075,84911,108830,85,1782,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0100,84908,108837,91,2772,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0125,84916,108825,76,2598,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0150,84901,108837,88,1665,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0175,84915,108846,93,309,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0200,84908,108824,93,89,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0225,84923,108843,91,18,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0250,84915,108835,103,36,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0275,84911,108833,98,1645,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0300,84914,108837,113,2594,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0325,84904,108849,90,2548,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0350,84910,108834,87,1742,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0375,84921,108838,85,349,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0400,84918,108849,96,99,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0425,84918,108854,97,19,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0450,84927,108849,86,49,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0475,84914,108858,99,1629,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0500,84921,108841,106,2500,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0525,84916,108836,96,2504,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0550,84911,108861,101,1690,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0575,84922,108841,92,344,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0600,84919,108866,94,98,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0625,84926,108852,87,18,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0650,84920,108842,88,21,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0675,84926,108844,89,1442,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0700,84914,108862,92,2608,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0725,84937,108859,97,2283,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0750,84915,108853,109,815,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0775,84920,108847,100,227,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0800,84917,108860,96,39,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0825,84919,108854,103,16,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0850,84921,108855,89,817,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0875,84926,108860,83,2523,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0900,84924,108864,81,4046,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0925,84937,108858,85,4064,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0950,84933,108876,92,2901,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.0975,84935,108870,94,2014,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1000,84935,108861,90,1049,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1025,84926,108849,97,605,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1050,84916,108861,106,1306,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1075,84913,108870,102,2097,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1100,84919,108866,84,2196,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1125,84922,108868,92,1850,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1150,84919,108871,96,576,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1175,84929,108866,93,165,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1200,84924,108863,90,29,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1225,84929,108868,87,13,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1250,84930,108851,83,45,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1275,84921,108861,81,939,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1300,84922,108856,101,2241,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1325,84925,108855,101,2166,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1350,84935,108862,86,928,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1375,84917,108866,87,258,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1400,84927,108869,89,41,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1425,84928,108864,89,15,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1450,84939,108866,79,200,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1475,84921,108860,81,1284,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1500,84930,108860,93,2337,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1525,84938,108870,97,2108,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1550,84926,108863,83,777,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1575,84925,108854,104,215,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1600,84919,108853,98,36,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1625,84922,108858,99,14,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1650,84925,108865,86,218,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1675,84916,108859,103,1270,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1700,84917,108857,86,2338,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1725,84924,108853,109,2149,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1750,84925,108856,87,870,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1775,84926,108854,81,242,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1800,84924,108868,92,40,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1825,84924,108874,96,14,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1850,84924,108878,111,266,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1875,84929,108860,102,1389,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1900,84930,108861,92,2532,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1925,84924,108866,103,2377,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1950,84934,108877,81,1076,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.1975,84938,108889,87,310,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2000,84945,108881,86,46,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2025,84940,108878,92,20,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2050,84953,108883,94,350,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2075,84949,108894,90,2012,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2100,84946,108889,94,2474,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2125,84942,108898,100,1796,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2150,84943,108892,105,849,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2175,84946,108899,96,128,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2200,84949,108892,112,34,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2225,84956,108902,93,10,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2250,84966,108910,91,548,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2275,84957,108920,81,2177,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2300,84966,108923,83,2528,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2325,84962,108917,79,1900,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2350,84959,108915,87,910,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2375,84949,108917,86,135,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2400,84962,108916,98,42,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2425,84956,108911,104,13,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2450,84970,108925,106,641,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2475,84960,108924,92,2504,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2500,84953,108886,100,2585,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2525,84959,108919,79,1671,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2550,84957,108931,80,693,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2575,84997,108915,82,105,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2600,84969,108933,76,34,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2625,84966,108915,76,14,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2650,84974,108894,102,1187,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2675,84953,108912,91,2283,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2700,84949,108934,81,2470,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2725,84957,108920,74,2088,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2750,84978,108916,87,943,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2775,84963,108910,92,317,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2800,84955,108890,91,49,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2825,84963,108884,79,28,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2850,84943,108897,84,1467,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2875,84949,108894,90,2452,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2900,84946,108889,94,2696,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2925,84963,108873,118,2114,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2950,84969,108851,112,1262,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.2975,84937,108888,97,221,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.3000,84951,108865,104,65,30.01,30.67,99.0,107.0,69.0,36.3,26.0,73.0
0.3025,84943,108870,90,23,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3050,84950,108879,92,804,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3075,84938,108867,102,2617,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3100,84940,108871,88,3048,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3125,84948,108879,94,2592,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3150,84936,108856,90,1545,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3175,84936,108861,76,288,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3200,84950,108860,101,82,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3225,84924,108843,98,71,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3250,84921,108857,111,992,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3275,84923,108829,88,2642,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3300,84929,108832,104,2936,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3325,84928,108841,102,2302,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3350,84925,108837,84,1368,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3375,84930,108839,102,254,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3400,84926,108835,87,70,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3425,84935,108834,85,133,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3450,84927,108830,89,1144,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3475,84943,108833,91,2708,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3500,84916,108824,88,2938,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3525,84930,108832,104,2412,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3550,84922,108824,111,899,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3575,84925,108832,82,268,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3600,84922,108840,94,44,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3625,84916,108834,93,54,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3650,84932,108836,87,1535,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3675,84921,108837,86,2546,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3700,84927,108838,86,2770,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3725,84919,108832,94,2208,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3750,84929,108825,90,797,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3775,84917,108848,94,224,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3800,84915,108833,101,37,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3825,84917,108808,100,15,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3850,84929,108818,109,816,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3875,84921,108830,85,1908,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3900,84910,108826,98,2462,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3925,84918,108821,87,1972,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3950,84922,108835,90,582,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.3975,84917,108831,92,162,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4000,84912,108821,92,28,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4025,84916,108831,97,13,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4050,84923,108817,80,738,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4075,84905,108818,107,1680,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4100,84915,108806,94,2088,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4125,84912,108821,87,1620,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4150,84918,108828,75,399,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4175,84915,108824,94,112,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4200,84928,108825,94,21,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4225,84922,108812,88,11,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4250,84921,108809,96,796,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4275,84924,108817,89,1816,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4300,84923,108828,89,2369,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4325,84920,108825,99,1898,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4350,84917,108832,91,532,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4375,84914,108822,94,149,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4400,84906,108826,92,28,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4425,84920,108813,92,14,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4450,84911,108817,96,964,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4475,84915,108819,100,2014,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4500,84908,108811,92,2408,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4525,84911,108810,88,1978,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4550,84896,108808,91,668,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4575,84907,108815,101,183,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4600,84922,108815,90,31,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4625,84914,108821,97,13,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4650,84907,108812,111,917,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4675,84912,108812,81,1954,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4700,84912,108816,96,2569,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4725,84907,108815,101,2073,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4750,84909,108813,86,692,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4775,84915,108807,92,197,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4800,84921,108820,96,30,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4825,84919,108819,89,11,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4850,84924,108814,82,944,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4875,84924,108816,97,2340,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4900,84904,108817,105,2550,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4925,84908,108821,98,1647,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4950,84916,108820,105,656,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.4975,84913,108810,92,98,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5000,84908,108814,97,32,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5025,84917,108821,86,267,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5050,84925,108821,90,1399,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5075,84933,108812,85,2516,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5100,84927,108825,88,2504,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5125,84930,108815,92,1526,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5150,84920,108820,98,714,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5175,84916,108843,98,110,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5200,84924,108821,102,34,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5225,84914,108824,99,155,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5250,84906,108830,100,1176,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5275,84915,108831,90,2434,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5300,84913,108824,86,2564,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5325,84921,108814,86,1700,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5350,84927,108836,89,769,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5375,84921,108830,90,116,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5400,84923,108825,84,37,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5425,84922,108825,94,203,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5450,84935,108816,95,1265,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5475,84909,108830,78,2504,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5500,84919,108838,90,2580,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5525,84917,108819,94,1646,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5550,84917,108834,95,719,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5575,84922,108839,85,126,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5600,84930,108835,93,39,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5625,84930,108827,90,216,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5650,84928,108833,87,1273,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5675,84934,108841,88,2516,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5700,84916,108832,94,2670,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5725,84941,108839,89,1734,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5750,84923,108838,101,846,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5775,84921,108826,102,137,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
0.5800,84924,108840,94,43,30.02,30.52,99.0,107.0,69.0,36.3,26.0,73.0
